"Name","Team","Position","Salary","Projection","Ceiling","Total Own","CPT Salary","CPT Projection","CPT Own"
"Dak Prescott","DAL","QB","10400","20.2","30.9","62.1","15600","30.4","7.2"
"CeeDee Lamb","DAL","WR","11000","19.6","34.0","49.5","16500","29.3","12.4"
"Javonte Williams","DAL","RB","9800","19.3","32.9","51.0","14700","28.9","15.5"
"Ashton Jeanty","LV","RB","10000","18.8","31.7","50.1","15000","28.2","14.0"
"Geno Smith","LV","QB","8800","17.5","27.4","52.1","13200","26.3","4.5"
"Brock Bowers","LV","TE","8000","17.5","29.9","57.2","12000","26.3","17.1"
"George Pickens","DAL","WR","9000","15.9","29.5","38.5","13500","23.8","8.8"
"Tre Tucker","LV","WR","6600","11.3","22.3","29.2","9900","17.0","5.1"
"Jake Ferguson","DAL","TE","7400","11.1","19.9","24.7","11100","16.7","4.3"
"Brandon Aubrey","DAL","K","5400","9.8","16.4","28.0","8100","14.7","1.5"
"Daniel Carlson","LV","K","5000","8.5","14.8","22.4","7500","12.7","1.1"
"Tyler Lockett","LV","WR","3400","7.6","15.8","26.6","5100","11.3","3.0"
"Michael Mayer","LV","TE","4000","7.0","13.9","18.7","6000","10.5","1.2"
"Cowboys","DAL","DST","4200","6.8","14.0","17.8","6300","10.2","1.3"
"KaVontae Turpin","DAL","WR","3000","4.9","11.5","12.5","4500","7.3","0.8"
"Ryan Flournoy","DAL","WR","4600","4.5","10.8","6.3","6900","6.8","0.2"
"Raiders","LV","DST","3600","4.5","11.0","13.1","5400","6.7","0.8"
"Raheem Mostert","LV","RB","2400","3.3","8.7","7.1","3600","4.9","0.2"
"Dont'e Thornton Jr.","LV","WR","2000","3.2","9.2","8.7","3000","4.8","0.4"
"Luke Schoonmaker","DAL","TE","1600","2.5","6.9","6.4","2400","3.8","0.1"
"Jaydon Blue","DAL","RB","1400","1.9","5.8","5.4","2100","2.8","0.1"
"Jack Bech","LV","WR","1000","1.9","6.0","5.5","1500","2.8","0.1"
"Hunter Luepke","DAL","RB","400","0.8","3.2","2.2","600","1.2","0.1"
"Malik Davis","DAL","RB","200","0.8","3.0","1.8","300","1.2","0.0"
"Jalen Tolbert","DAL","WR","2800","0.3","1.4","0.5","4200","0.5","0.0"
"Ian Thomas","LV","TE","600","0.3","1.1","0.5","900","0.4","0.0"
"Brevyn Spann-Ford","DAL","TE","200","0.3","1.3","0.7","300","0.5","0.0"
"Dylan Laube","LV","RB","200","0.2","1.0","0.7","300","0.3","0.0"
"Alex Bachman","LV","WR","800","0.1","0.6","0.4","1200","0.2","0.0"
"Kenny Pickett","LV","QB","8600","0.0","0.0","0.0","12900","0.0","0.0"
"Aidan O'Connell","LV","QB","8400","0.0","0.0","0.0","12600","0.0","0.0"
"Joe Milton III","DAL","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Cam Miller","LV","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Will Grier","DAL","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Greg Joseph","LV","K","5000","0.0","0.0","0.0","7500","0.0","0.0"
"John Stephens Jr.","DAL","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Jalen Cropper","DAL","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Phillip Dorsett II","LV","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Rivaldo Fairweather","DAL","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Miles Sanders","DAL","RB","200","0.0","0.0","0.0","300","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"DJ Turner","LV","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Justin Shorter","LV","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Jonathan Mingo","DAL","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Shedrick Jackson","LV","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Parris Campbell","DAL","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Chris Collier","LV","RB","200","0.0","0.0","0.0","300","0.0","0.0"
"Phil Mafah","DAL","RB","200","0.0","0.0","0.0","300","0.0","0.0"
"Traeshon Holden","DAL","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Princeton Fant","DAL","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Carter Runyon","LV","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Zamir White","LV","RB","200","0.0","0.0","0.0","300","0.0","0.0"
