"Name","Team","Position","Salary","Projection","Ceiling","Total Own","CPT Salary","CPT Projection","CPT Own"
"Amon-Ra St. Brown","DET","WR","10800","20.7","34.8","60.2","16200","31.0","15.1"
"Jalen Hurts","PHI","QB","10400","20.5","31.5","70.5","15600","30.8","17.0"
"Saquon Barkley","PHI","RB","9600","17.2","30.0","49.1","14400","25.8","10.8"
"Jahmyr Gibbs","DET","RB","10600","16.5","29.0","38.8","15900","24.7","9.2"
"Jared Goff","DET","QB","10000","16.0","25.2","45.3","15000","24.0","4.2"
"DeVonta Smith","PHI","WR","8400","14.6","27.1","41.8","12600","21.9","8.5"
"A.J. Brown","PHI","WR","8000","14.5","27.3","48.5","12000","21.7","9.6"
"Jameson Williams","DET","WR","7600","12.6","24.4","33.3","11400","19.0","5.6"
"Dallas Goedert","PHI","TE","5600","10.7","19.6","33.0","8400","16.0","5.2"
"David Montgomery","DET","RB","5200","10.7","20.4","33.7","7800","16.1","6.4"
"Jake Elliott","PHI","K","4800","8.6","14.9","22.2","7200","12.8","1.2"
"Jake Bates","DET","K","4600","8.3","14.7","24.3","6900","12.5","1.3"
"Lions","DET","DST","3600","6.3","13.1","16.3","5400","9.4","1.3"
"Eagles","PHI","DST","4000","6.2","13.0","15.4","6000","9.3","1.2"
"Kalif Raymond","DET","WR","3000","5.2","11.8","11.2","4500","7.9","0.6"
"Brock Wright","DET","TE","1600","5.1","11.1","26.7","2400","7.7","1.7"
"Jahan Dotson","PHI","WR","2400","2.5","7.3","5.2","3600","3.8","0.2"
"Tank Bigsby","PHI","RB","2600","2.1","6.4","3.2","3900","3.1","0.1"
"Isaac TeSlaa","DET","WR","1000","1.8","5.8","4.3","1500","2.7","0.2"
"Ross Dwelley","DET","TE","200","1.8","5.5","5.2","300","2.7","0.3"
"Grant Calcaterra","PHI","TE","1200","1.7","5.3","2.7","1800","2.6","0.1"
"Will Shipley","PHI","RB","2000","1.6","5.3","3.5","3000","2.4","0.1"
"Darius Cooper","PHI","WR","200","0.4","1.7","1.9","300","0.6","0.1"
"Kylen Granson","PHI","TE","600","0.2","1.0","0.8","900","0.4","0.0"
"Dominic Lovett","DET","WR","200","0.2","0.7","1.0","300","0.2","0.1"
"Jackson Meeks","DET","WR","200","0.2","0.6","0.4","300","0.2","0.0"
"Cameron Latu","PHI","TE","200","0.1","0.5","0.4","300","0.2","0.0"
"Xavier Gipson","PHI","WR","200","0.1","0.5","0.4","300","0.2","0.0"
"Craig Reynolds","DET","RB","200","0.1","0.4","0.4","300","0.1","0.0"
"Sione Vaki","DET","RB","200","0.1","0.5","0.4","300","0.1","0.0"
"Tom Kennedy","DET","WR","200","0.1","0.6","0.4","300","0.2","0.0"
"Kyle McCord","PHI","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Sam Howell","PHI","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Kyle Allen","DET","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Tanner McKee","PHI","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"C.J. Beathard","DET","QB","6000","0.0","0.0","0.0","9000","0.0","0.0"
"Sam LaPorta","DET","TE","5400","0.0","0.0","0.0","8100","0.0","0.0"
"A.J. Dillon","PHI","RB","400","0.0","0.0","0.0","600","0.0","0.0"
"Zach Horton","DET","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"E.J. Jenkins","PHI","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Quez Watkins","PHI","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Ben VanSumeren","PHI","RB","200","0.0","0.0","0.0","300","0.0","0.0"
"Jacob Saylors","DET","RB","200","0.0","0.0","0.0","300","0.0","0.0"
"Johnny Wilson","PHI","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Malik Cunningham","DET","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Britain Covey","PHI","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Danny Gray","PHI","WR","200","0.0","0.0","0.0","300","0.0","0.0"
"Shane Zylstra","DET","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Kye Robichaux","DET","RB","200","0.0","0.0","0.0","300","0.0","0.0"
"Anthony Firkser","DET","TE","200","0.0","0.0","0.0","300","0.0","0.0"
"Cal Adomitis","PHI","TE","200","0.0","0.0","0.0","300","0.0","0.0"
