"Player","DK Pos","Team","Opp","DK Salary","DK Proj","DK Value","Small Field","Large Field","DK Floor","DK Ceiling","id"
"Christian McCaffrey","RB","SF","@ARI","$9,000","24.8","4.0","36.2%","28.2%","11.5","40.1","40742354"
"Jaxon Smith-Njigba","WR","SEA","@LA","$8,900","22.7","2.1","18.3%","18.7%","9.4","38.0","40742608"
"Puka Nacua","WR","LA","SEA","$8,700","20.9","0.7","9.4%","12.4%","9.1","35.2","40742610"
"Ja'Marr Chase","WR","CIN","@PIT","$8,500","23.0","3.2","26.9%","25.5%","10.4","37.8","40742612"
"Bijan Robinson","RB","ATL","CAR","$8,300","22.9","3.4","11.7%","13.4%","10.6","37.1","40742356"
"Rashee Rice","WR","KC","@DEN","$7,900","19.7","1.0","14.8%","13.9%","8.4","33.8","40742614"
"Josh Jacobs","RB","GB","@NYG","$7,800","21.5","3.1","16.6%","18.0%","9.6","35.3","40742358"
"Davante Adams","WR","LA","SEA","$7,700","15.2","-3.0","2.1%","3.3%","4.9","28.6","40742616"
"Justin Jefferson","WR","MIN","CHI","$7,500","17.7","-0.1","13.1%","14.9%","6.3","32.1","40742618"
"Drake London","WR","ATL","CAR","$7,400","17.2","-0.4","9.7%","12.3%","6.3","30.9","40742620"
"James Cook III","RB","BUF","TB","$7,300","16.6","-0.8","5.0%","4.7%","6.2","28.9","40742360"
"Emeka Egbuka","WR","TB","@BUF","$7,200","15.3","-2.0","2.9%","3.2%","5.4","28.3","40742622"
"Josh Allen","QB","BUF","TB","$7,000","21.6","0.0","3.2%","4.8%","11.8","33.0","40742281"
"Lamar Jackson","QB","BAL","@CLE","$6,900","19.3","-2.0","0.7%","1.7%","10.5","29.9","40742282"
"Kyren Williams","RB","LA","SEA","$6,900","14.6","-2.0","1.3%","3.1%","5.3","26.7","40742364"
"Rico Dowdle","RB","CAR","@ATL","$6,800","18.2","1.8","16.9%","15.2%","7.8","30.5","40742366"
"Patrick Mahomes","QB","KC","@DEN","$6,800","21.3","0.3","4.8%","5.1%","11.8","32.2","40742283"
"Nico Collins","WR","HOU","@TEN","$6,700","15.4","-0.9","9.7%","10.5%","5.4","28.1","40742624"
"Derrick Henry","RB","BAL","@CLE","$6,600","15.8","-0.3","4.2%","6.4%","5.8","28.1","40742368"
"Matthew Stafford","QB","LA","SEA","$6,600","20.2","-0.2","1.3%","3.4%","10.8","30.6","40742284"
"Ladd McConkey","WR","LAC","@JAX","$6,500","15.7","-0.2","11.8%","10.0%","5.7","28.9","40742626"
"Zay Flowers","WR","BAL","@CLE","$6,400","13.8","-1.9","2.3%","4.8%","4.9","25.7","40742628"
"Quinshon Judkins","RB","CLE","BAL","$6,400","12.1","-3.6","1.1%","3.1%","4.6","22.1","40742370"
"Baker Mayfield","QB","TB","@BUF","$6,400","15.2","-4.6","0.3%","0.5%","7.7","24.3","40742285"
"Trey McBride","TE","ARI","SF","$6,300","19.6","4.1","41.7%","34.3%","8.3","32.6","40743030"
"Justin Herbert","QB","LAC","@JAX","$6,300","20.5","1.0","10.1%","9.7%","11.3","31.2","40742286"
"Rome Odunze","WR","CHI","@MIN","$6,200","12.5","-2.7","3.1%","4.9%","3.5","24.4","40742630"
"Rachaad White","RB","TB","@BUF","$6,200","12.6","-2.7","0.2%","1.5%","4.8","22.7","40742372"
"Bo Nix","QB","DEN","KC","$6,100","17.2","-1.7","0.5%","1.0%","8.8","26.7","40742287"
"Jaylen Warren","RB","PIT","CIN","$6,100","19.0","3.9","40.8%","34.8%","7.8","32.8","40742374"
"Tee Higgins","WR","CIN","@PIT","$6,000","12.6","-2.3","5.5%","6.7%","3.9","24.3","40742634"
"Jordan Love","QB","GB","@NYG","$6,000","17.4","-1.2","1.5%","2.3%","9.0","27.2","40742288"
"Jordan Mason","RB","MIN","CHI","$6,000","6.5","-8.4","0.1%","0.2%","1.3","14.3","40742376"
"Caleb Williams","QB","CHI","@MIN","$5,900","18.4","0.1","2.7%","3.7%","9.7","28.6","40742289"
"Courtland Sutton","WR","DEN","KC","$5,900","11.1","-3.6","0.5%","1.2%","3.0","21.8","40742636"
"Kimani Vidal","RB","LAC","@JAX","$5,900","16.3","1.6","12.4%","11.0%","6.5","28.4","40742380"
"D'Andre Swift","RB","CHI","@MIN","$5,800","14.7","0.2","7.1%","7.5%","5.5","26.3","40742382"
"Brock Purdy","QB","SF","@ARI","$5,800","20.2","2.2","9.4%","8.1%","10.9","30.8","40742290"
"Chase Brown","RB","CIN","@PIT","$5,700","17.9","3.6","39.2%","30.4%","7.8","30.6","40742384"
