FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,De'Von Achane,MIA,RB,7,6,
2,Jahmyr Gibbs,DET,RB,1,-1,
3,Patrick Mahomes II,KC,QB,2,-1,
4,Josh Allen,BUF,QB,4,0,
5,Lamar Jackson,BAL,QB,5,0,
6,Drake Maye,NE,QB,8,2,
7,Jaxon Smith-Njigba,SEA,WR,9,2,
8,Jonathan Taylor,IND,RB,10,2,
9,Jalen Hurts,PHI,QB,6,-3,
10,Christian McCaffrey,SF,RB,3,-7,
11,Bijan Robinson,ATL,RB,11,0,
12,Amon-Ra St. Brown,DET,WR,14,2,
13,Ja'Marr Chase,CIN,WR,13,0,
14,Puka Nacua,LAR,WR,17,3,
15,Justin Herbert,LAC,QB,16,1,
16,Matthew Stafford,LAR,QB,15,-1,
17,Dak Prescott,DAL,QB,18,1,
18,Bo Nix,DEN,QB,20,2,
19,Rashee Rice,KC,WR,12,-7,
20,CeeDee Lamb,DAL,WR,24,4,
21,Jaxson Dart,NYG,QB,27,6,
22,Trey McBride,ARI,TE,22,0,
23,Joe Burrow,CIN,QB,19,-4,
24,Derrick Henry,BAL,RB,33,9,
25,Sam Darnold,SEA,QB,29,4,
26,Jacoby Brissett,ARI,QB,21,-5,
27,George Pickens,DAL,WR,30,3,
28,Saquon Barkley,PHI,RB,36,8,
29,Trevor Lawrence,JAC,QB,32,3,
30,Davante Adams,LAR,WR,23,-7,
31,James Cook III,BUF,RB,31,0,
32,Daniel Jones,IND,QB,35,3,
33,Kyren Williams,LAR,RB,41,8,
34,Caleb Williams,CHI,QB,28,-6,
35,Jordan Love,GB,QB,34,-1,
36,Jared Goff,DET,QB,25,-11,
37,C.J. Stroud,HOU,QB,82,45,
38,Baker Mayfield,TB,QB,98,60,
39,Jaylen Waddle,MIA,WR,39,0,
40,Tetairoa McMillan,CAR,WR,52,12,
41,TreVeyon Henderson,NE,RB,37,-4,
42,Nico Collins,HOU,WR,40,-2,
43,Breece Hall,NYJ,RB,45,2,
44,Brock Purdy,SF,QB,38,-6,
45,Josh Jacobs,GB,RB,62,17,
46,Chase Brown,CIN,RB,26,-20,
47,Tua Tagovailoa,MIA,QB,42,-5,
48,Emeka Egbuka,TB,WR,61,13,
49,Brock Bowers,LV,TE,54,5,
50,Marcus Mariota,WAS,QB,66,16,
51,Chris Olave,NO,WR,44,-7,
52,Tyler Shough,NO,QB,49,-3,
53,Rico Dowdle,CAR,RB,48,-5,
54,Tyrod Taylor,NYJ,QB,47,-7,
55,Javonte Williams,DAL,RB,50,-5,
56,RJ Harvey,DEN,RB,67,11,
57,Zay Flowers,BAL,WR,70,13,
58,Travis Etienne Jr.,JAC,RB,43,-15,
59,Kimani Vidal,LAC,RB,114,55,
60,Aaron Rodgers,PIT,QB,65,5,
61,Wan'Dale Robinson,NYG,WR,59,-2,
62,Cam Ward,TEN,QB,53,-9,
63,DeVonta Smith,PHI,WR,63,0,
64,Travis Kelce,KC,TE,72,8,
65,Kirk Cousins,ATL,QB,56,-9,
66,Justin Jefferson,MIN,WR,68,2,
67,A.J. Brown,PHI,WR,46,-21,
68,Ashton Jeanty,LV,RB,51,-17,
69,Bryce Young,CAR,QB,64,-5,
70,Geno Smith,LV,QB,76,6,
71,Michael Wilson,ARI,WR,69,-2,
72,Michael Pittman Jr.,IND,WR,75,3,
73,Jaylen Warren,PIT,RB,55,-18,
74,Ladd McConkey,LAC,WR,57,-17,
75,George Kittle,SF,TE,60,-15,
76,Stefon Diggs,NE,WR,58,-18,
77,Shedeur Sanders,CLE,QB,71,-6,
78,Kenneth Walker III,SEA,RB,77,-1,
79,Troy Franklin,DEN,WR,81,2,
80,Tyler Warren,IND,TE,85,5,
81,Khalil Shakir,BUF,WR,73,-8,
82,DK Metcalf,PIT,WR,86,4,
83,Courtland Sutton,DEN,WR,83,0,
84,Woody Marks,HOU,RB,74,-10,
85,Max Brosmer,MIN,QB,143,58,
86,Quinshon Judkins,CLE,RB,78,-8,
87,Jameson Williams,DET,WR,80,-7,
88,Deebo Samuel Sr.,WAS,WR,88,0,
89,Devin Neal,NO,RB,101,12,
90,Aaron Jones Sr.,MIN,RB,87,-3,
91,Rome Odunze,CHI,WR,84,-7,
92,Oronde Gadsden II,LAC,TE,92,0,
93,Christian Watson,GB,WR,90,-3,
94,Brian Thomas Jr.,JAC,WR,142,48,
95,Bucky Irving,TB,RB,79,-16,
96,Xavier Worthy,KC,WR,109,13,
97,Kyle Pitts Sr.,ATL,TE,111,14,
98,Darnell Mooney,ATL,WR,94,-4,
99,Trey Benson,ARI,RB,164,65,
100,D'Andre Swift,CHI,RB,102,2,
101,Jakobi Meyers,JAC,WR,95,-6,
102,Jauan Jennings,SF,WR,91,-11,
103,Romeo Doubs,GB,WR,110,7,
104,Mark Andrews,BAL,TE,93,-11,
105,Hunter Henry,NE,TE,100,-5,
106,Jake Ferguson,DAL,TE,97,-9,
107,Tyrone Tracy Jr.,NYG,RB,99,-8,
108,Keenan Allen,LAC,WR,103,-5,
109,Dalton Schultz,HOU,TE,121,12,
110,Brenton Strange,JAC,TE,113,3,
111,Parker Washington,JAC,WR,104,-7,
112,Tre Tucker,LV,WR,119,7,
113,Alec Pierce,IND,WR,107,-6,
114,Zach Ertz,WAS,TE,141,27,
115,Quentin Johnston,LAC,WR,106,-9,
116,Kareem Hunt,KC,RB,89,-27,
117,Kenneth Gainwell,PIT,RB,96,-21,
118,Chimere Dike,TEN,WR,117,-1,
119,Jayden Higgins,HOU,WR,124,5,
120,Greg Dortch,ARI,WR,125,5,
121,David Montgomery,DET,RB,115,-6,
122,DJ Moore,CHI,WR,108,-14,
123,Tony Pollard,TEN,RB,140,17,
124,Juwan Johnson,NO,TE,112,-12,
125,Tez Johnson,TB,WR,137,12,
126,Cooper Kupp,SEA,WR,152,26,
127,Dallas Goedert,PHI,TE,105,-22,
128,Bhayshul Tuten,JAC,RB,133,5,
129,Cade Otton,TB,TE,139,10,
130,Harold Fannin Jr.,CLE,TE,127,-3,
131,Theo Johnson,NYG,TE,118,-13,
132,Luther Burden III,CHI,WR,120,-12,
133,Malik Washington,MIA,WR,156,23,
134,Jordan Addison,MIN,WR,129,-5,
135,John Metchie III,NYJ,WR,126,-9,
136,Ricky Pearsall,SF,WR,116,-20,
137,Tyjae Spears,TEN,RB,151,14,
138,Mack Hollins,NE,WR,138,0,
139,Adonai Mitchell,NYJ,WR,146,7,
140,Chris Godwin Jr.,TB,WR,134,-6,
141,Zach Charbonnet,SEA,RB,123,-18,
142,Chris Rodriguez Jr.,WAS,RB,144,2,
143,Josh Downs,IND,WR,136,-7,
144,Andrei Iosivas,CIN,WR,122,-22,
145,Mike Gesicki,CIN,TE,145,0,
146,Kayshon Boutte,NE,WR,130,-16,
147,Colston Loveland,CHI,TE,128,-19,
148,Evan Engram,DEN,TE,157,9,
149,Jerry Jeudy,CLE,WR,132,-17,
150,Terry McLaurin,WAS,WR,218,68,
151,Isiah Pacheco,KC,RB,170,19,
152,Mason Taylor,NYJ,TE,154,2,
153,Van Jefferson,TEN,WR,175,22,
154,Kyle Monangai,CHI,RB,131,-23,
155,Isaiah Hodgins,NYG,WR,173,18,
156,AJ Barner,SEA,TE,135,-21,
157,Mitch Tinsley,CIN,WR,183,26,
158,Tyler Allgeier,ATL,RB,153,-5,
159,Rachaad White,TB,RB,167,8,
160,Rashod Bateman,BAL,WR,203,43,
161,Taysom Hill,NO,TE,159,-2,
162,Gunnar Helm,TEN,TE,168,6,
163,Calvin Austin III,PIT,WR,186,23,
164,T.J. Hockenson,MIN,TE,162,-2,
165,Rhamondre Stevenson,NE,RB,149,-16,
166,Colby Parkinson,LAR,TE,182,16,
167,Devin Singletary,NYG,RB,166,-1,
168,Chig Okonkwo,TEN,TE,180,12,
169,Isaiah Likely,BAL,TE,158,-11,
170,Blake Corum,LAR,RB,169,-1,
171,Jacory Croskey-Merritt,WAS,RB,193,22,
172,Devaughn Vele,NO,WR,179,7,
173,Darius Slayton,NYG,WR,148,-25,
174,Emanuel Wilson,GB,RB,160,-14,
175,Rashid Shaheed,SEA,WR,150,-25,
176,Keaton Mitchell,BAL,RB,178,2,
177,David Sills V,ATL,WR,212,35,
178,DeMario Douglas,NE,WR,163,-15,
179,Jaleel McLaughlin,DEN,RB,187,8,
180,Tyler Lockett,LV,WR,185,5,
181,Chuba Hubbard,CAR,RB,198,17,
182,Dontayvion Wicks,GB,WR,190,8,
183,Xavier Legette,CAR,WR,161,-22,
184,Marquise Brown,KC,WR,171,-13,
185,Jalen Coker,CAR,WR,155,-30,
186,Jordan Mason,MIN,RB,177,-9,
187,Samaje Perine,CIN,RB,221,34,
188,Christian Kirk,HOU,WR,165,-23,
189,Chris Moore,WAS,WR,267,78,
190,Joshua Palmer,BUF,WR,188,-2,
191,Dawson Knox,BUF,TE,181,-10,
192,Mason Tipton,NO,WR,214,22,
193,Keon Coleman,BUF,WR,271,78,
194,Cedric Tillman,CLE,WR,184,-10,
195,David Njoku,CLE,TE,176,-19,
196,Darnell Washington,PIT,TE,189,-7,
197,Pat Freiermuth,PIT,TE,192,-5,
198,Ollie Gordon II,MIA,RB,195,-3,
199,Pat Bryant,DEN,WR,201,2,
200,Noah Fant,CIN,TE,205,5,
201,Sean Tucker,TB,RB,172,-29,
202,Brian Robinson Jr.,SF,RB,194,-8,
203,Matthew Golden,GB,WR,226,23,
204,DeAndre Hopkins,BAL,WR,174,-30,
205,Marvin Mims Jr.,DEN,WR,223,18,
206,Zonovan Knight,ARI,RB,147,-59,
207,Isaiah Davis,NYJ,RB,199,-8,
208,Dylan Sampson,CLE,RB,191,-17,
209,Brashard Smith,KC,RB,209,0,
210,Jeremy McNichols,WAS,RB,222,12,
211,Sterling Shepard,TB,WR,200,-11,
212,Isaac TeSlaa,DET,WR,213,1,
213,Gabe Davis,BUF,WR,202,-11,
214,Nick Chubb,HOU,RB,196,-18,
215,Ty Johnson,BUF,RB,204,-11,
216,KaVontae Turpin,DAL,WR,219,3,
217,Robbie Chosen,WAS,WR,320,103,
218,Jalen Nailor,MIN,WR,216,-2,
219,Tyrell Shavers,BUF,WR,225,6,
220,Dylan Drummond,ATL,WR,300,80,
221,Roman Wilson,PIT,WR,208,-13,
222,Kyle Juszczyk,SF,RB,242,20,
223,Ryan Flournoy,DAL,WR,215,-8,
224,Michael Carter,ARI,RB,197,-27,
225,Nick Westbrook-Ikhine,MIA,WR,318,93,
226,Raheem Mostert,LV,RB,206,-20,
227,Audric Estime,NO,RB,233,6,
228,Tre Harris,LAC,WR,290,62,
229,Xavier Hutchinson,HOU,WR,210,-19,
230,James Proche II,TEN,WR,313,83,
231,Xavier Restrepo,TEN,WR,293,62,
232,Jaylin Noel,HOU,WR,207,-25,
233,Xavier Weaver,ARI,WR,241,8,
234,Isaiah Bond,CLE,WR,228,-6,
235,Olamide Zaccheaus,CHI,WR,243,8,
236,Dont'e Thornton Jr.,LV,WR,251,15,
237,Jordan Whittington,LAR,WR,234,-3,
238,JuJu Smith-Schuster,KC,WR,248,10,
239,Demarcus Robinson,SF,WR,238,-1,
240,Jahan Dotson,PHI,WR,236,-4,
241,Hunter Luepke,DAL,RB,296,55,
242,Malik Davis,DAL,RB,240,-2,
243,Jaylin Lane,WAS,WR,302,59,
244,Allen Lazard,NYJ,WR,297,53,
245,Tyquan Thornton,KC,WR,217,-28,
246,Jimmy Horn Jr.,CAR,WR,303,57,
247,Malachi Corley,CLE,WR,321,74,
248,Tank Bigsby,PHI,RB,220,-28,
249,Jerome Ford,CLE,RB,239,-10,
250,Tyler Badie,DEN,RB,253,3,
251,Will Shipley,PHI,RB,245,-6,
252,Kyle Williams,NE,WR,229,-23,
253,Terrell Jennings,NE,RB,255,2,
254,Tim Patrick,JAC,WR,227,-27,
255,Isaiah Williams,NYJ,WR,306,51,
256,Xavier Smith,LAR,WR,344,88,
257,Trayveon Williams,LAC,RB,340,83,
258,Chris Brooks,GB,RB,235,-23,
259,LeQuint Allen Jr.,JAC,RB,261,2,
260,Ray Davis,BUF,RB,249,-11,
261,Dare Ogunbowale,HOU,RB,268,7,
262,Rasheen Ali,BAL,RB,322,60,
263,Kaleb Johnson,PIT,RB,250,-13,
264,Ameer Abdullah,IND,RB,257,-7,
265,Trevor Etienne,CAR,RB,266,1,
266,Alec Ingold,MIA,RB,356,90,
267,Jaylen Wright,MIA,RB,292,25,
268,Dylan Laube,LV,RB,280,12,
269,Patrick Ricard,BAL,RB,284,15,
270,C.J. Ham,MIN,RB,341,71,
271,Adam Prentice,DEN,RB,372,101,
272,Nathan Carter,ATL,RB,391,119,
273,George Holani,SEA,RB,275,2,
274,Tyler Goodson,IND,RB,307,33,
275,Brittain Brown,CHI,RB,289,14,
276,Amar Johnson,LAC,RB,409,133,
277,Cam Akers,SEA,RB,383,106,
278,Julius Chestnut,TEN,RB,332,54,
279,Eric Gray,NYG,RB,359,80,
280,Kalel Mullings,TEN,RB,363,83,
281,Isaac Guerendo,SF,RB,287,6,
282,Zavier Scott,MIN,RB,282,0,
283,Jakob Johnson,HOU,RB,364,81,
284,Kendall Milton,CIN,RB,274,-10,
285,Jacob Saylors,DET,RB,367,82,
286,Jaret Patterson,LAC,RB,390,104,
287,Jaydon Blue,DAL,RB,286,-1,
288,Dante Miller,NYG,RB,294,6,
