"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","CAR","25.6","22.9","24.7","19.3","21.9","24.5","41.5","38.0","Monday"
"Drake Maye","QB","NE","@CIN","23.5","23.2","24.6","21.7","21.7","21.7","35.0","34.9","Main"
"Puka Nacua","WR","LA","TB","23.0","19.0","21.7","13.7","17.7","21.6","38.3","32.7","Sunday"
"Jahmyr Gibbs","RB","DET","NYG","22.9","20.9","21.9","18.0","19.9","21.8","38.8","36.2","Main"
"Amon-Ra St Brown","WR","DET","NYG","22.9","19.1","21.7","14.2","17.9","21.7","38.8","33.5","Main"
"Patrick Mahomes","QB","KC","IND","22.9","22.6","23.9","20.9","20.9","20.9","34.1","34.0","Main"
"Jaxon Smith-Njigba","WR","SEA","@TEN","22.6","19.3","21.3","14.6","18.0","21.3","38.3","33.5","Main"
"Bijan Robinson","RB","ATL","@NO","21.9","19.2","21.0","15.8","18.3","20.8","35.5","32.2","Main"
"Josh Allen","QB","BUF","@HOU","21.8","21.6","22.9","20.4","20.4","20.4","33.2","33.2","Thursday"
"Jalen Hurts","QB","PHI","@DAL","21.7","21.5","23.0","20.5","20.5","20.5","33.0","32.9","Main"
"Lamar Jackson","QB","BAL","NYJ","21.5","21.3","22.8","20.3","20.3","20.3","32.9","32.9","Main"
"Brock Purdy","QB","SF","CAR","21.3","21.2","22.4","19.6","19.6","19.6","32.2","32.2","Monday"
"Jonathan Taylor","RB","IND","@KC","21.2","19.7","20.1","17.2","18.6","20.0","35.6","33.9","Main"
"Jared Goff","QB","DET","NYG","20.8","20.6","22.0","19.2","19.2","19.2","31.7","31.6","Main"
"Matthew Stafford","QB","LA","TB","20.8","20.6","21.8","18.9","18.9","18.9","31.5","31.5","Sunday"
"Trey McBride","TE","ARI","JAX","20.0","16.2","22.9","11.6","15.3","19.1","33.1","27.7","Main"
"Jacoby Brissett","QB","ARI","JAX","19.0","18.8","20.2","17.3","17.3","17.3","29.3","29.3","Main"
"Saquon Barkley","RB","PHI","@DAL","19.0","17.5","18.0","15.1","16.5","17.8","32.3","30.5","Main"
"Derrick Henry","RB","BAL","NYJ","18.9","18.2","17.8","16.5","17.1","17.7","33.1","32.2","Main"
"Caleb Williams","QB","CHI","PIT","18.8","18.5","19.9","17.4","17.4","17.4","29.2","29.1","Main"
"Chase Brown","RB","CIN","NE","18.8","16.3","18.3","13.4","15.8","18.2","31.5","28.4","Main"
"Rashee Rice","WR","KC","IND","18.8","15.2","18.0","11.0","14.5","18.0","32.6","27.6","Main"
"Rico Dowdle","RB","CAR","@SF","18.7","17.0","17.8","14.4","16.1","17.7","32.0","29.8","Monday"
"CeeDee Lamb","WR","DAL","PHI","18.7","15.3","17.7","11.0","14.3","17.7","32.7","27.9","Main"
"Dak Prescott","QB","DAL","PHI","18.6","18.5","19.6","16.8","16.8","16.8","28.8","28.8","Main"
"James Cook","RB","BUF","@HOU","18.5","17.3","17.5","15.3","16.3","17.4","31.5","30.1","Thursday"
"Davante Adams","WR","LA","TB","18.2","15.5","17.4","12.0","14.7","17.4","32.9","28.9","Sunday"
"Trevor Lawrence","QB","JAX","@ARI","18.0","17.8","19.2","16.7","16.7","16.7","28.2","28.1","Main"
"Baker Mayfield","QB","TB","@LA","18.0","17.8","19.0","16.4","16.4","16.4","28.0","27.9","Sunday"
"Sam Darnold","QB","SEA","@TEN","17.9","17.7","19.1","16.6","16.6","16.6","28.3","28.2","Main"
"Daniel Jones","QB","IND","@KC","17.3","17.1","18.4","15.6","15.6","15.6","27.4","27.4","Main"
"George Pickens","WR","DAL","PHI","17.1","14.3","16.3","10.8","13.6","16.3","30.8","26.7","Main"
"Tee Higgins","WR","CIN","NE","17.0","14.2","16.2","10.5","13.3","16.2","30.8","26.6","Main"
"Emeka Egbuka","WR","TB","@LA","16.9","14.1","16.2","10.6","13.4","16.2","30.7","26.6","Sunday"
"Jordan Love","QB","GB","MIN","16.8","16.7","18.0","15.6","15.6","15.6","26.4","26.4","Main"
"Joe Flacco","QB","CIN","NE","16.7","16.6","17.7","14.9","14.9","14.9","26.5","26.4","Main"
"Emanuel Wilson","RB","GB","MIN","16.4","15.1","15.7","13.1","14.3","15.5","29.1","27.5","Main"
"Ashton Jeanty","RB","LV","CLE","16.3","14.5","15.9","12.5","14.1","15.7","27.8","25.5","Main"
"Mason Rudolph","QB","PIT","@CHI","16.3","16.2","17.4","14.9","14.9","14.9","25.7","25.6","Main"
"Jameis Winston","QB","NYG","@DET","16.0","15.7","16.9","14.3","14.3","14.3","25.6","25.5","Main"
"Tetairoa McMillan","WR","CAR","@SF","15.6","13.0","15.0","9.8","12.4","14.9","28.4","24.5","Monday"
"Nico Collins","WR","HOU","BUF","15.5","12.8","14.8","9.5","12.2","14.8","28.4","24.4","Thursday"
"TreVeyon Henderson","RB","NE","@CIN","15.5","14.0","15.0","12.1","13.5","14.9","27.8","25.8","Main"
"Bryce Young","QB","CAR","@SF","15.4","15.2","16.5","14.2","14.2","14.2","24.5","24.4","Monday"
"Javonte Williams","RB","DAL","PHI","15.4","14.2","14.7","12.5","13.5","14.5","27.6","26.3","Main"
"Brock Bowers","TE","LV","CLE","15.4","12.5","17.8","9.2","12.0","14.9","26.7","22.4","Main"
"Chris Olave","WR","NO","ATL","15.4","12.7","14.8","9.4","12.1","14.8","28.2","24.2","Main"
"Jameson Williams","WR","DET","NYG","15.2","13.0","14.5","10.2","12.3","14.5","28.9","25.6","Main"
"Kyren Williams","RB","LA","TB","15.2","14.0","14.8","12.5","13.6","14.7","27.6","26.0","Sunday"
"Stefon Diggs","WR","NE","@CIN","15.1","12.5","14.6","9.3","11.9","14.6","28.0","24.1","Main"
"Zay Flowers","WR","BAL","NYJ","14.9","12.5","14.4","9.5","11.9","14.3","27.9","24.2","Main"
"Davis Mills","QB","HOU","BUF","14.9","14.6","15.9","13.4","13.4","13.4","24.0","24.0","Thursday"
"AJ Brown","WR","PHI","@DAL","14.8","12.3","14.2","9.2","11.7","14.2","27.6","23.8","Main"
"Jaylen Warren","RB","PIT","@CHI","14.8","13.7","14.3","12.0","13.1","14.2","26.5","25.1","Main"
"D'Andre Swift","RB","CHI","PIT","14.7","13.4","14.3","11.8","13.0","14.2","26.5","24.8","Main"
"David Montgomery","RB","DET","NYG","14.7","13.8","14.2","12.4","13.3","14.2","27.1","25.8","Main"
"Geno Smith","QB","LV","CLE","14.6","14.3","15.6","13.2","13.2","13.2","23.3","23.2","Main"
"Aaron Jones","RB","MIN","@GB","14.6","12.9","14.2","10.9","12.5","14.1","25.6","23.3","Main"
"Tyler Shough","QB","NO","ATL","14.6","14.4","15.6","13.3","13.3","13.3","24.1","24.0","Main"
"Breece Hall","RB","NYJ","@BAL","14.4","13.1","14.0","11.4","12.6","13.9","25.4","23.6","Main"
"Michael Wilson","WR","ARI","JAX","14.3","11.8","13.8","8.7","11.2","13.7","26.9","23.1","Main"
"Justin Jefferson","WR","MIN","@GB","14.3","11.8","13.8","8.7","11.2","13.7","26.4","22.6","Main"
"Alvin Kamara","RB","NO","ATL","14.3","12.8","13.9","11.0","12.4","13.8","25.3","23.4","Main"
"Wan'Dale Robinson","WR","NYG","@DET","14.3","11.5","13.9","8.3","11.1","13.8","26.2","22.1","Main"
"DeVonta Smith","WR","PHI","@DAL","14.2","11.7","13.6","8.7","11.1","13.6","26.5","22.7","Main"
"JJ McCarthy","QB","MIN","@GB","13.9","13.6","14.9","12.6","12.6","12.6","22.4","22.3","Main"
"Tyrod Taylor","QB","NYJ","@BAL","13.9","13.6","14.9","12.7","12.7","12.7","22.3","22.2","Main"
"Quinshon Judkins","RB","CLE","@LV","13.7","12.8","12.9","11.4","12.1","12.8","24.9","23.8","Main"
"Woody Marks","RB","HOU","BUF","13.6","12.5","13.1","11.0","12.0","13.0","24.7","23.2","Thursday"
"Kareem Hunt","RB","KC","IND","13.6","12.6","13.2","11.4","12.3","13.1","25.4","24.2","Main"
"Travis Kelce","TE","KC","IND","13.6","11.0","15.9","8.1","10.7","13.3","24.3","20.4","Main"
"Travis Etienne","RB","JAX","@ARI","13.5","12.1","13.2","10.5","11.8","13.1","25.0","23.1","Main"
"DK Metcalf","WR","PIT","@CHI","13.5","11.4","13.0","8.7","10.9","13.0","25.7","22.4","Main"
"George Kittle","TE","SF","CAR","13.5","11.2","15.3","8.6","10.8","13.1","25.1","21.6","Monday"
"Romeo Doubs","WR","GB","MIN","13.3","11.0","12.9","8.4","10.6","12.9","25.3","21.9","Main"
"Kenneth Walker","RB","SEA","@TEN","13.3","12.5","12.8","11.2","12.0","12.7","25.1","24.1","Main"
"Tyler Warren","TE","IND","@KC","13.1","10.6","15.4","7.7","10.3","12.8","23.1","19.2","Main"
"Jakobi Meyers","WR","JAX","@ARI","13.0","10.6","12.6","7.9","10.3","12.6","24.5","21.1","Main"
"Kirk Cousins","QB","ATL","@NO","12.8","12.6","14.0","11.7","11.7","11.7","20.9","20.8","Main"
"Jauan Jennings","WR","SF","CAR","12.8","10.6","12.4","8.1","10.2","12.4","24.8","21.5","Monday"
"Michael Pittman","WR","IND","@KC","12.6","10.0","12.2","7.1","9.7","12.2","23.3","19.5","Main"
"Rome Odunze","WR","CHI","PIT","12.5","10.5","12.1","8.2","10.1","12.1","24.1","21.1","Main"
"Kyle Pitts","TE","ATL","@NO","12.4","9.6","14.9","6.7","9.4","12.1","21.3","17.2","Main"
"Alec Pierce","WR","IND","@KC","12.2","10.3","11.7","8.0","9.8","11.7","24.0","21.1","Main"
"Parker Washington","WR","JAX","@ARI","12.1","10.0","11.8","7.5","9.6","11.8","23.4","20.1","Main"
"Bam Knight","RB","ARI","JAX","12.0","10.9","11.8","9.6","10.7","11.7","22.3","20.7","Main"
"Shedeur Sanders","QB","CLE","@LV","11.8","11.5","12.4","10.4","10.4","10.4","19.4","19.3","Main"
"Tyrone Tracy","RB","NYG","@DET","11.8","10.5","11.6","9.0","10.2","11.5","21.8","19.9","Main"
"Cameron Ward","QB","TEN","SEA","11.8","11.4","12.7","10.4","10.4","10.4","19.6","19.4","Main"
"Darnell Mooney","WR","ATL","@NO","11.1","9.2","10.8","6.9","8.9","10.8","21.7","18.7","Main"
"Mark Andrews","TE","BAL","NYJ","11.1","9.3","12.8","7.4","9.2","11.0","21.1","18.3","Main"
"Khalil Shakir","WR","BUF","@HOU","11.1","8.6","10.9","6.1","8.4","10.8","20.7","17.2","Thursday"
"SEA DST","DST","SEA","@TEN","11.1","11.1","12.2","11.1","11.1","11.1","19.2","19.2","Main"
"Sean Tucker","RB","TB","@LA","10.9","10.1","10.6","9.1","9.8","10.5","20.8","19.7","Sunday"
"Xavier Worthy","WR","KC","IND","10.8","9.0","10.6","7.0","8.8","10.5","21.2","18.4","Main"
"Dallas Goedert","TE","PHI","@DAL","10.8","8.7","12.9","6.4","8.5","10.7","20.0","16.7","Main"
"Ricky Pearsall","WR","SF","CAR","10.6","9.0","10.3","7.1","8.7","10.3","21.7","19.0","Monday"
"Bhayshul Tuten","RB","JAX","@ARI","10.4","9.8","10.1","9.0","9.5","10.0","20.6","19.8","Main"
"Jake Ferguson","TE","DAL","PHI","10.3","7.8","12.8","5.3","7.8","10.3","18.1","14.4","Main"
"Hunter Henry","TE","NE","@CIN","10.3","8.5","12.0","6.6","8.4","10.2","19.9","17.0","Main"
"Christian Watson","WR","GB","MIN","10.2","8.7","9.9","6.9","8.4","9.9","20.9","18.5","Main"
"Dalton Schultz","TE","HOU","BUF","10.0","7.7","12.1","5.5","7.7","9.9","18.1","14.7","Thursday"
"Tre Tucker","WR","LV","CLE","10.0","8.2","9.8","6.2","8.0","9.8","19.8","17.0","Main"
"Jordan Addison","WR","MIN","@GB","10.0","8.3","9.7","6.3","8.0","9.7","19.8","17.1","Main"
"Darius Slayton","WR","NYG","@DET","10.0","8.3","9.7","6.4","8.1","9.7","20.1","17.4","Main"
"Tyler Loop","K","BAL","NYJ","9.9","9.9","10.6","9.9","9.9","9.9","16.4","16.4","Main"
"Theo Johnson","TE","NYG","@DET","9.8","7.9","11.7","5.8","7.8","9.7","18.5","15.4","Main"
"Zach Charbonnet","RB","SEA","@TEN","9.8","9.3","9.6","8.7","9.1","9.6","19.3","18.7","Main"
"Cade Otton","TE","TB","@LA","9.8","7.7","11.8","5.5","7.6","9.7","17.9","14.6","Sunday"
