"","home","home_score","away","away_score","home_spread","total","home_conf","away_conf","value_pick","vegas_spread"
"1","Texas State",26.4978809356689,"Arizona State",29.2621955871582,2.76431465148926,55.7600765228271,"Sun Belt","Big 12","Arizona State",2
"2","Kansas",30.8978700637817,"UNLV",25.267288684845,-5.63058137893677,56.1651587486267,"Big 12","Mountain West","UNLV",-7
"3","Kansas State",31.7648611068726,"Arizona",25.0977354049683,-6.6671257019043,56.8625965118408,"Big 12","Big 12","Arizona",-7
"4","Tulsa",22.1301417350769,"Oklahoma State",39.427227973938,17.2970862388611,61.5573697090149,"American Athletic","Big 12","Tulsa",20
"5","Illinois",35.0693464279175,"Central Michigan",16.5532193183899,-18.5161271095276,51.6225657463074,"Big Ten","Mid-American","Central Michigan",-20
"6","NC State",36.3704166412354,"Louisiana Tech",15.5703978538513,-20.800018787384,51.9408144950867,"ACC","Conference USA","Louisiana Tech",-21.5
"7","Michigan",38.1271343231201,"Arkansas State",10.5663831233978,-27.5607511997223,48.6935174465179,"Big Ten","Sun Belt","Michigan",-22.5
"8","Wisconsin",18.1399126052856,"Alabama",32.2123613357544,14.0724487304688,50.35227394104,"Big Ten","SEC","Wisconsin",15.5
"9","Texas Tech",38.3800888061523,"North Texas",27.3209533691406,-11.0591354370117,65.701042175293,"Big 12","American Athletic","Texas Tech",-9.5
"10","South Carolina",21.6999716758728,"LSU",29.0737280845642,7.37375640869141,50.773699760437,"SEC","SEC","LSU",7
"11","Miami (OH)",22.887668132782,"Cincinnati",24.750825881958,1.86315774917603,47.63849401474,"Mid-American","Big 12","Miami (OH)",2.5
"12","Florida State",31.0909690856934,"Memphis",22.9526610374451,-8.13830804824829,54.0436301231384,"ACC","American Athletic","Florida State",-7
"13","Missouri",33.6500816345215,"Boston College",19.8431491851807,-13.8069324493408,53.4932308197021,"SEC","ACC","Boston College",-16.5
"14","Buffalo",25.6962141990662,"Massachusetts",20.8462419509888,-4.84997224807739,46.5424561500549,"Mid-American","FBS Independents","Buffalo",-4.5
"15","Temple",17.378659248352,"Coastal Carolina",33.8641939163208,16.4855346679688,51.2428531646729,"American Athletic","Sun Belt","Temple",17.5
"16","Oregon State",19.3438372612,"Oregon",32.572473526001,13.228636264801,51.9163107872009,"Pac-12","Big Ten","Oregon State",16
"17","Purdue",18.0879759788513,"Notre Dame",30.7825288772583,12.694552898407,48.8705048561096,"Big Ten","FBS Independents","Notre Dame",11.5
"18","Miami",43.7456502914429,"Ball State",11.3316535949707,-32.4139966964722,55.0773038864136,"ACC","Mid-American","Ball State",-36.5
"19","Minnesota",32.1758346557617,"Nevada",14.6950421333313,-17.4807925224304,46.870876789093,"Big Ten","Mountain West","Minnesota",-16
"20","Washington",29.5538353919983,"Washington State",25.9523115158081,-3.60152387619019,55.5061469078064,"Big Ten","Pac-12","Washington State",-4
"21","Florida",22.3289728164673,"Texas A&M",25.9044036865234,3.57543087005615,48.2333765029907,"SEC","SEC","Florida",4.5
"22","Oklahoma",33.3452825546265,"Tulane",19.7924041748047,-13.5528783798218,53.1376867294312,"SEC","American Athletic","Oklahoma",-13.5
"23","Pittsburgh",28.6964402198792,"West Virginia",30.6116633415222,1.91522312164307,59.3081035614014,"ACC","Big 12","Pittsburgh",2.5
"24","East Carolina",27.8780689239502,"App State",29.3596725463867,1.48160362243652,57.2377414703369,"American Athletic","Sun Belt","East Carolina",2.5
"25","Iowa",28.8616824150085,"Troy",10.1881556510925,-18.673526763916,39.0498380661011,"Big Ten","Sun Belt","Troy",-22.5
