,season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
0,2016,REG,0,Latavius Murray,RB,LV,3.9130710659898496,45.64102564102564,2.589171270718232,195,788,5.997212633823153,-0.9972126338231533,4.041025641025641,-0.9972126338231533,0.0,12,00-0030513,Latavius,Murray,28,L.Murray
1,2016,REG,0,Tim Hightower,RB,NO,3.7370437956204388,27.819548872180448,2.5538548387096776,133,548,,,4.120300751879699,,,4,00-0026289,Tim,Hightower,34,T.Hightower
2,2016,REG,0,Matt Asiata,RB,MIN,3.9994527363184083,38.84297520661157,2.25641592920354,121,402,,,3.322314049586777,,,6,00-0028198,Matt,Asiata,44,M.Asiata
3,2016,REG,0,David Johnson,RB,ARI,3.8692009685230007,25.597269624573375,2.6375078125000004,293,1239,,,4.228668941979522,,,16,00-0032187,David,Johnson,31,D.Johnson
4,2016,REG,0,Jonathan Stewart,RB,CAR,4.379927184466017,38.07339449541284,2.834389743589744,218,824,,,3.779816513761468,,,9,00-0026153,Jonathan,Stewart,28,J.Stewart
5,2016,REG,0,Jay Ajayi,RB,MIA,3.907610062893079,23.076923076923077,2.752202702702704,260,1272,10.169731207588121,-1.1697312075881214,4.892307692307693,-0.3899104025293738,0.6666666666666666,8,00-0031590,Jay,Ajayi,23,J.Ajayi
6,2016,REG,0,LeSean McCoy,RB,BUF,3.9576400947119184,26.923076923076923,3.0034444444444444,234,1267,,,5.414529914529915,,,13,00-0027029,LeSean,McCoy,25,L.McCoy
7,2016,REG,0,Paul Perkins,RB,NYG,3.6825657894736845,5.357142857142857,2.5745514018691598,112,456,,,4.071428571428571,,,0,00-0032417,Paul,Perkins,28,P.Perkins
8,2016,REG,0,C.J. Anderson,RB,DEN,4.113478260869565,22.727272727272727,2.4903061224489798,110,437,,,3.9727272727272727,,,4,00-0029854,Cortrelle,Anderson,22,C.Anderson
9,2016,REG,0,LeGarrette Blount,RB,NE,4.074013781223085,43.47826086956522,2.6807575757575766,299,1161,,,3.882943143812709,,,18,00-0027325,LeGarrette,Blount,29,L.Blount
10,2016,REG,0,Carlos Hyde,RB,SF,3.8389676113360323,12.903225806451612,2.675216931216931,217,988,13.59525237528868,-6.5952523752886805,4.552995391705069,-3.2976261876443402,0.0,6,00-0031045,Carlos,Hyde,28,C.Hyde
11,2016,REG,0,Bilal Powell,RB,NYJ,3.2576038781163428,9.16030534351145,2.7165833333333347,131,722,,,5.511450381679389,,,3,00-0028064,Bilal,Powell,29,B.Powell
12,2016,REG,0,Rashad Jennings,RB,NYG,4.270439189189188,6.666666666666667,2.5109565217391303,180,592,,,3.2888888888888888,,,3,00-0027155,Rashad,Jennings,23,R.Jennings
13,2016,REG,0,Jeremy Hill,RB,CIN,4.382038140643623,19.81981981981982,2.6133700000000006,222,839,,,3.779279279279279,,,9,00-0031301,Jeremy,Hill,32,
14,2016,REG,0,Doug Martin,RB,TB,5.17163895486936,33.33333333333333,2.840165289256197,144,421,,,2.923611111111111,,,3,00-0029613,Douglas,Martin,22,
15,2016,REG,0,Melvin Gordon,RB,LAC,4.083901705115347,36.22047244094488,2.513411764705882,254,997,-1.795937763557049,-1.204062236442951,3.925196850393701,-1.204062236442951,0.0,10,00-0032144,Melvin,Gordon,28,
16,2016,REG,0,Jerick McKinnon,RB,MIN,4.868923933209649,25.78616352201258,2.640301470588236,159,539,,,3.389937106918239,,,2,00-0031376,Jerick,McKinnon,21,J.McKinnon
17,2016,REG,0,Devonta Freeman,RB,ATL,4.047340129749766,33.03964757709251,2.681221649484536,227,1079,,,4.753303964757709,,,11,00-0031285,Devonta,Freeman,24,D.Freeman
18,2016,REG,0,Devontae Booker,RB,DEN,4.505098039215685,24.137931034482758,2.4843607594936707,174,612,,,3.5172413793103448,,,4,00-0032972,Devontae,Booker,23,D.Booker
19,2016,REG,0,Dwayne Washington,RB,DET,5.35436090225564,17.77777777777778,2.8976097560975607,90,266,,,2.9555555555555557,,,1,00-0032450,Dwayne,Washington,36,
20,2016,REG,0,Giovani Bernard,RB,CIN,4.864451038575669,6.593406593406594,2.7615421686746986,91,337,,,3.7032967032967035,,,2,00-0030456,Giovani,Bernard,25,G.Bernard
21,2016,REG,0,T.J. Yeldon,RB,JAX,4.520668103448276,18.461538461538463,2.5804642857142857,130,464,5.097489214752677,7.902510785247323,3.5692307692307694,7.902510785247323,1.0,1,00-0032209,Timothy,Yeldon,24,T.Yeldon
22,2016,REG,0,Kenneth Dixon,RB,BAL,4.0829319371727735,20.454545454545457,2.794906666666667,88,382,,,4.340909090909091,,,2,00-0032411,Kenneth,Dixon,30,K.Dixon
23,2016,REG,0,Mark Ingram,RB,NO,3.456490891658675,18.536585365853657,2.5829790575916234,205,1043,,,5.087804878048781,,,6,00-0027966,Mark,Ingram,22,M.Ingram
24,2016,REG,0,Matt Forte,RB,NYJ,4.2107011070110705,14.678899082568808,2.6368564102564096,218,813,,,3.729357798165138,,,7,00-0026184,Matthew,Forte,22,M.Forte
25,2016,REG,0,Charcandrick West,RB,KC,4.90839590443686,27.27272727272727,2.8742368421052626,88,293,,,3.3295454545454546,,,1,00-0030668,Charcandrick,West,35,C.West
26,2016,REG,0,Tevin Coleman,RB,ATL,4.342923076923077,27.966101694915253,2.7682336448598126,118,520,,,4.406779661016949,,,8,00-0032058,Tevin,Coleman,26,T.Coleman
27,2016,REG,0,DeAndre Washington,RB,LV,3.1377730192719486,20.689655172413794,2.5881975308641976,87,467,,,5.367816091954023,,,2,00-0032940,DeAndre,Washington,33,D.Washington
