,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type_x,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,season_type_y,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
0,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,59.0,0,0.0,0.0,2.0,-0.3080236669629812,0,4,6,19.0,0,0.0,0.0,-8.0,23.0,0.0,-1.7403172797057778,0,-2.375,0.13333333333333333,-0.017777777777777778,0.18755555555555556,0.0,7.800000000000001,11.8,REG,RB,IND,3.3574576271186443,0.0,2.0734615384615385,14,59,,,4.214285714285714,,,0,00-0023500,Frank,Gore,23,F.Gore
1,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,13,44.0,0,0.0,0.0,1.0,-2.9275110494776824,0,3,3,19.0,1,0.0,0.0,10.0,9.0,1.0,2.629227288067341,0,1.9,0.07692307692307693,0.03205128205128205,0.13782051282051283,0.0,12.3,15.3,REG,RB,IND,3.809090909090909,69.23076923076923,2.2419230769230767,13,44,,,3.3846153846153846,,,0,00-0023500,Frank,Gore,23,F.Gore
2,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,21,82.0,1,1.0,0.0,5.0,-1.1498630037531257,0,1,3,1.0,0,0.0,0.0,1.0,1.0,0.0,-2.153068162733689,0,1.0,0.08571428571428572,0.0035714285714285713,0.13107142857142856,0.0,14.3,15.3,REG,RB,IND,3.661951219512196,19.047619047619047,2.429157894736843,21,82,,,3.9047619047619047,,,1,00-0023500,Frank,Gore,23,F.Gore
3,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,68.0,1,0.0,0.0,5.0,1.6463830893626437,0,5,6,27.0,0,0.0,0.0,-8.0,36.0,2.0,0.3814029843779281,0,-3.375,0.15,-0.035555555555555556,0.2001111111111111,0.0,15.5,20.5,REG,RB,IND,3.6366176470588236,37.5,2.1242666666666667,16,68,,,4.25,,,1,00-0023500,Frank,Gore,23,F.Gore
4,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,75.0,0,0.0,0.0,4.0,-1.4997067828662694,0,1,2,4.0,0,0.0,0.0,9.0,0.0,0.0,-0.4703897680155933,0,0.4444444444444444,0.05405405405405406,0.02601156069364162,0.09928917356663022,0.0,7.9,8.9,REG,RB,IND,2.9951999999999996,7.142857142857142,2.2741538461538457,14,75,,,5.357142857142857,,,0,00-0023500,Frank,Gore,23,F.Gore
5,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,6,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,22,106.0,0,0.0,0.0,6.0,2.260143793129828,0,1,1,2.0,0,0.0,0.0,0.0,2.0,0.0,-0.454400478862226,0,0.0,0.03125,0.0,0.046875,0.0,10.8,11.8,REG,RB,IND,3.1175471698113206,4.545454545454546,2.2546999999999997,22,106,,,4.818181818181818,,,0,00-0023500,Frank,Gore,23,F.Gore
6,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,7,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,17,61.0,0,0.0,0.0,5.0,0.19080314951133914,0,5,5,22.0,1,0.0,0.0,-4.0,26.0,2.0,1.6754982881247997,0,-5.5,0.1282051282051282,-0.010471204188481676,0.18497784937575512,0.0,14.3,19.3,REG,RB,IND,4.022931034482759,29.411764705882355,2.1816470588235295,17,58,,,3.411764705882353,,,0,00-0023500,Frank,Gore,23,F.Gore
7,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,9,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,19,60.0,2,0.0,0.0,5.0,-0.20246916241012514,0,2,2,11.0,0,0.0,0.0,-4.0,15.0,1.0,0.7059853664250113,0,-2.75,0.05555555555555555,-0.014084507042253521,0.07347417840375586,0.0,19.1,21.1,REG,RB,IND,5.107500000000001,36.84210526315789,2.3930000000000002,19,60,,,3.1578947368421053,,,2,00-0023500,Frank,Gore,23,F.Gore
8,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,11,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,50.0,0,0.0,0.0,1.0,-5.772727534698788,0,4,4,71.0,0,0.0,0.0,10.0,61.0,3.0,4.004127548483666,0,7.1,0.14285714285714285,0.03676470588235294,0.24002100840336132,0.0,12.100000000000001,16.1,REG,RB,IND,4.324199999999999,16.666666666666664,2.2575294117647053,18,50,,,2.7777777777777777,,,0,00-0023500,Frank,Gore,23,F.Gore
9,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,12,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,28.0,0,0.0,0.0,1.0,-4.709257734881248,0,1,1,3.0,0,0.0,0.0,2.0,1.0,0.0,-0.526545702945441,0,1.5,0.02702702702702703,0.0053475935828877,0.044283856048561936,0.0,3.1,4.1,REG,RB,IND,5.843928571428571,13.333333333333334,2.3706428571428577,15,28,,,1.8666666666666667,,,0,00-0023500,Frank,Gore,23,F.Gore
